client_id,num_samples,mean_rul,rul_variance,operating_condition_entropy,sensor_variance
1,78,41.00043020890668,775.0293183691192,0.8348161072232341,0.7628240927476112
2,189,43.47755330517665,921.9218196852704,0.5446958291571056,0.29677417732324307
3,179,64.08074916199922,1061.245062938613,1.574029419383605,0.7311924762312123
4,157,48.817624881627864,1089.2656838759087,1.71414568501674,0.10584888371025492
5,90,67.92557579952907,840.2505165179919,0.7332192497176724,0.9614917649861031
6,136,44.088411060793945,879.9273006373373,1.0384690707269426,0.40956015023107406
7,117,72.28513093097521,1229.7317866938179,1.3043421371820512,0.9758041875814335
8,146,43.15200792313833,793.178281407093,1.4429596992416651,0.8969065731431262
9,142,63.094085810270485,1204.5718362149235,0.5687365754834933,0.30510844808639215
10,124,79.40886082643031,1355.317721015147,1.7997255001329044,0.44211360253524956
